Timestamp,ADC_Value,Voltage_mV
2026-07-27 14:26:43.532,328,1603.128
2026-07-27 14:26:43.532,330,1612.903
2026-07-27 14:26:43.532,332,1622.678
2026-07-27 14:26:43.535,332,1622.678
2026-07-27 14:26:43.578,332,1622.678
2026-07-27 14:26:43.578,333,1627.566
2026-07-27 14:26:43.578,333,1627.566
2026-07-27 14:26:43.578,341,1666.667
2026-07-27 14:26:43.579,360,1759.531
2026-07-27 14:26:43.579,406,1984.36
2026-07-27 14:26:43.579,481,2350.929
2026-07-27 14:26:43.579,545,2663.734
2026-07-27 14:26:43.625,479,2341.153
2026-07-27 14:26:43.625,334,1632.454
2026-07-27 14:26:43.625,221,1080.156
2026-07-27 14:26:43.625,201,982.405
2026-07-27 14:26:43.626,265,1295.21
2026-07-27 14:26:43.626,308,1505.376
2026-07-27 14:26:43.626,322,1573.803
2026-07-27 14:26:43.626,336,1642.229
2026-07-27 14:26:43.626,349,1705.767
2026-07-27 14:26:43.628,351,1715.543
2026-07-27 14:26:43.671,345,1686.217
2026-07-27 14:26:43.671,340,1661.779
2026-07-27 14:26:43.672,341,1666.667
2026-07-27 14:26:43.672,344,1681.329
2026-07-27 14:26:43.672,347,1695.992
2026-07-27 14:26:43.672,347,1695.992
2026-07-27 14:26:43.672,346,1691.105
2026-07-27 14:26:43.673,348,1700.88
2026-07-27 14:26:43.675,348,1700.88
2026-07-27 14:26:43.717,349,1705.767
2026-07-27 14:26:43.718,349,1705.767
2026-07-27 14:26:43.718,351,1715.543
2026-07-27 14:26:43.718,353,1725.318
2026-07-27 14:26:43.718,355,1735.093
2026-07-27 14:26:43.718,355,1735.093
2026-07-27 14:26:43.718,356,1739.98
2026-07-27 14:26:43.720,358,1749.756
2026-07-27 14:26:43.766,360,1759.531
2026-07-27 14:26:43.766,362,1769.306
2026-07-27 14:26:43.766,365,1783.969
2026-07-27 14:26:43.766,368,1798.631
2026-07-27 14:26:43.767,372,1818.182
2026-07-27 14:26:43.767,378,1847.507
2026-07-27 14:26:43.767,385,1881.72
2026-07-27 14:26:43.767,394,1925.709
2026-07-27 14:26:43.767,402,1964.809
2026-07-27 14:26:43.769,411,2008.798
2026-07-27 14:26:43.812,422,2062.561
2026-07-27 14:26:43.812,431,2106.549
2026-07-27 14:26:43.812,438,2140.762
2026-07-27 14:26:43.813,443,2165.2
2026-07-27 14:26:43.813,445,2174.976
2026-07-27 14:26:43.813,444,2170.088
2026-07-27 14:26:43.813,436,2130.987
2026-07-27 14:26:43.813,424,2072.336
2026-07-27 14:26:43.815,406,1984.36
2026-07-27 14:26:43.859,385,1881.72
2026-07-27 14:26:43.859,362,1769.306
2026-07-27 14:26:43.859,345,1686.217
2026-07-27 14:26:43.859,331,1617.791
2026-07-27 14:26:43.860,321,1568.915
2026-07-27 14:26:43.860,311,1520.039
2026-07-27 14:26:43.860,303,1480.938
2026-07-27 14:26:43.860,298,1456.5
2026-07-27 14:26:43.862,296,1446.725
2026-07-27 14:26:43.904,293,1432.063
2026-07-27 14:26:43.904,291,1422.287
2026-07-27 14:26:43.905,291,1422.287
2026-07-27 14:26:43.905,292,1427.175
2026-07-27 14:26:43.905,294,1436.95
2026-07-27 14:26:43.905,294,1436.95
2026-07-27 14:26:43.905,292,1427.175
2026-07-27 14:26:43.905,292,1427.175
2026-07-27 14:26:43.911,295,1441.838
2026-07-27 14:26:43.914,297,1451.613
2026-07-27 14:26:43.951,300,1466.276
2026-07-27 14:26:43.951,300,1466.276
2026-07-27 14:26:43.955,298,1456.5
2026-07-27 14:26:43.955,298,1456.5
2026-07-27 14:26:43.955,298,1456.5
2026-07-27 14:26:43.955,299,1461.388
2026-07-27 14:26:43.955,300,1466.276
2026-07-27 14:26:43.956,301,1471.163
2026-07-27 14:26:43.997,301,1471.163
2026-07-27 14:26:43.998,303,1480.938
2026-07-27 14:26:43.998,302,1476.051
2026-07-27 14:26:43.998,302,1476.051
2026-07-27 14:26:43.998,301,1471.163
2026-07-27 14:26:43.998,301,1471.163
2026-07-27 14:26:43.998,303,1480.938
2026-07-27 14:26:43.998,304,1485.826
2026-07-27 14:26:44.014,303,1480.938
2026-07-27 14:26:44.014,304,1485.826
2026-07-27 14:26:44.014,305,1490.714
2026-07-27 14:26:44.018,306,1495.601
2026-07-27 14:26:44.059,306,1495.601
2026-07-27 14:26:44.059,305,1490.714
2026-07-27 14:26:44.060,306,1495.601
2026-07-27 14:26:44.060,308,1505.376
2026-07-27 14:26:44.060,307,1500.489
2026-07-27 14:26:44.060,307,1500.489
2026-07-27 14:26:44.060,307,1500.489
2026-07-27 14:26:44.060,308,1505.376
2026-07-27 14:26:44.108,309,1510.264
2026-07-27 14:26:44.108,307,1500.489
2026-07-27 14:26:44.109,306,1495.601
2026-07-27 14:26:44.109,307,1500.489
2026-07-27 14:26:44.110,308,1505.376
2026-07-27 14:26:44.110,307,1500.489
2026-07-27 14:26:44.110,306,1495.601
2026-07-27 14:26:44.111,306,1495.601
2026-07-27 14:26:44.111,308,1505.376
2026-07-27 14:26:44.113,309,1510.264
2026-07-27 14:26:44.153,308,1505.376
2026-07-27 14:26:44.153,308,1505.376
2026-07-27 14:26:44.153,307,1500.489
2026-07-27 14:26:44.153,308,1505.376
2026-07-27 14:26:44.153,309,1510.264
2026-07-27 14:26:44.153,309,1510.264
2026-07-27 14:26:44.153,311,1520.039
2026-07-27 14:26:44.154,312,1524.927
2026-07-27 14:26:44.200,311,1520.039
2026-07-27 14:26:44.200,311,1520.039
2026-07-27 14:26:44.200,313,1529.814
2026-07-27 14:26:44.200,312,1524.927
2026-07-27 14:26:44.200,312,1524.927
2026-07-27 14:26:44.201,311,1520.039
2026-07-27 14:26:44.201,314,1534.702
2026-07-27 14:26:44.201,313,1529.814
2026-07-27 14:26:44.201,313,1529.814
2026-07-27 14:26:44.247,313,1529.814
2026-07-27 14:26:44.247,312,1524.927
2026-07-27 14:26:44.247,313,1529.814
2026-07-27 14:26:44.247,314,1534.702
2026-07-27 14:26:44.247,314,1534.702
2026-07-27 14:26:44.247,314,1534.702
2026-07-27 14:26:44.248,315,1539.589
2026-07-27 14:26:44.248,315,1539.589
